LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
-0.012570,-0.071492,0.003040,0.259251,-0.289755,0.051453,-0.046309,0.035835,0.010231,0.314756,-0.320602,-0.030887,-0.201910,0.032667,-0.062974,-0.169733,1.236032,1.167527,-0.121029,-0.473629,-0.148161,0.056434,-0.495967,-1.292930,-0.953777,-0.170500,0.200604,-0.079384,0.052443,0
-0.011590,-0.070503,0.003335,0.259089,-0.292618,0.054736,-0.046616,0.036764,0.010365,0.313460,-0.322284,-0.033794,-0.377477,0.036824,-0.060911,-0.176348,1.187197,1.062066,-0.298479,-0.470393,-0.144698,0.053522,-0.497945,-1.219239,-0.909195,-0.224500,0.146303,0.015795,0.107163,3
-0.011590,-0.070495,0.003335,0.259081,-0.292601,0.054707,-0.046616,0.036764,0.010325,0.313503,-0.322317,-0.033852,-0.378174,0.036854,-0.060921,-0.176588,1.190073,1.061659,-0.297448,-0.470393,-0.144733,0.053605,-0.498172,-1.220725,-0.909195,-0.224333,0.146339,0.016730,0.107235,3
-0.011547,-0.070503,0.003294,0.259072,-0.292563,0.054656,-0.046616,0.036773,0.010325,0.313554,-0.322366,-0.033939,-0.379433,0.036900,-0.060952,-0.176959,1.192877,1.060520,-0.296142,-0.470381,-0.144781,0.053701,-0.498532,-1.222379,-0.909183,-0.224033,0.146351,0.018228,0.107271,3
-0.011547,-0.070512,0.003335,0.259013,-0.292538,0.054627,-0.046624,0.036773,0.010339,0.313622,-0.322415,-0.033997,-0.380558,0.036930,-0.060972,-0.177307,1.194687,1.059789,-0.294956,-0.470405,-0.144853,0.053761,-0.498616,-1.223673,-0.909231,-0.223710,0.146387,0.019211,0.107247,3
-0.011530,-0.070495,0.003348,0.258979,-0.292513,0.054598,-0.046650,0.036764,0.010339,0.313665,-0.322440,-0.034069,-0.381803,0.036938,-0.060987,-0.177678,1.196233,1.059046,-0.294105,-0.470417,-0.144877,0.053785,-0.498568,-1.224956,-0.909291,-0.223554,0.146411,0.020205,0.107235,3
-0.011496,-0.070512,0.003348,0.258944,-0.292492,0.054548,-0.046659,0.036798,0.010312,0.313725,-0.322481,-0.034156,-0.383263,0.036976,-0.061003,-0.178146,1.197707,1.058351,-0.293146,-0.470429,-0.144853,0.053809,-0.498484,-1.226310,-0.909315,-0.223458,0.146507,0.021751,0.107223,3
-0.011505,-0.070486,0.003375,0.258885,-0.292475,0.054490,-0.046667,0.036824,0.010285,0.313759,-0.322514,-0.034214,-0.385446,0.036991,-0.061013,-0.178613,1.199205,1.057680,-0.292295,-0.470477,-0.144817,0.053905,-0.498364,-1.227532,-0.909387,-0.223290,0.146579,0.022818,0.107223,3
-0.011513,-0.070495,0.003361,0.258859,-0.292467,0.054490,-0.046710,0.036824,0.010272,0.313767,-0.322556,-0.034286,-0.386959,0.036991,-0.061013,-0.179248,1.200931,1.057140,-0.291528,-0.470501,-0.144769,0.053977,-0.498052,-1.228611,-0.909411,-0.223122,0.146675,0.023980,0.107223,3
-0.011539,-0.070486,0.003348,0.258876,-0.292471,0.054497,-0.046693,0.036850,0.010285,0.313750,-0.322593,-0.034351,-0.388552,0.036999,-0.061019,-0.179691,1.202740,1.056661,-0.290629,-0.470501,-0.144722,0.054061,-0.497897,-1.229546,-0.909447,-0.222955,0.146759,0.025215,0.107223,3
