LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
0.022550,-0.090002,-0.024507,0.432923,-0.452663,0.014457,-0.013431,-0.068279,0.060933,0.576853,-0.623917,-0.000168,-0.226176,-0.049439,-0.046973,-0.148005,0.182991,-0.166101,0.198746,1.077382,-0.517443,-0.073523,-1.152882,-1.234555,-0.428748,0.418837,0.309193,0.009851,0.197728,0
0.022550,-0.090002,-0.024507,0.432923,-0.452674,0.014450,-0.013431,-0.068279,0.060947,0.576862,-0.623913,-0.000161,-0.226122,-0.049439,-0.046973,-0.148005,0.182907,-0.166113,0.198734,1.077382,-0.517455,-0.073523,-1.152787,-1.234543,-0.428724,0.418837,0.309169,0.009815,0.197728,1
0.022575,-0.090002,-0.024507,0.432915,-0.452663,0.014457,-0.013422,-0.068262,0.060933,0.576845,-0.623920,-0.000161,-0.226136,-0.049432,-0.046978,-0.148005,0.182847,-0.166125,0.198746,1.077382,-0.517455,-0.073535,-1.152679,-1.234483,-0.428700,0.418837,0.309169,0.009827,0.197728,1
0.022567,-0.090002,-0.024547,0.432906,-0.452659,0.014450,-0.013431,-0.068271,0.060920,0.576836,-0.623913,-0.000161,-0.226122,-0.049439,-0.046973,-0.148005,0.182787,-0.166101,0.198734,1.077382,-0.517455,-0.073523,-1.152583,-1.234447,-0.428700,0.418861,0.309193,0.009815,0.197728,1
0.022550,-0.090028,-0.024547,0.432898,-0.452655,0.014457,-0.013439,-0.068279,0.060960,0.576845,-0.623920,-0.000161,-0.226109,-0.049447,-0.046978,-0.148017,0.182655,-0.166113,0.198746,1.077358,-0.517455,-0.073523,-1.152475,-1.234375,-0.428688,0.418873,0.309181,0.009839,0.197716,1
0.022550,-0.090002,-0.024574,0.432898,-0.452659,0.014464,-0.013456,-0.068271,0.060947,0.576845,-0.623917,-0.000154,-0.226109,-0.049439,-0.046973,-0.148017,0.182583,-0.166113,0.198746,1.077382,-0.517455,-0.073535,-1.152367,-1.234375,-0.428664,0.418897,0.309205,0.009851,0.197728,1
0.022550,-0.090019,-0.024601,0.432889,-0.452651,0.014465,-0.013431,-0.068271,0.060947,0.576828,-0.623917,-0.000168,-0.226122,-0.049454,-0.046983,-0.148017,0.182499,-0.166113,0.198746,1.077382,-0.517443,-0.073523,-1.152271,-1.234339,-0.428652,0.418897,0.309181,0.009863,0.197728,1
0.022550,-0.090011,-0.024614,0.432881,-0.452655,0.014457,-0.013439,-0.068262,0.060933,0.576845,-0.623906,-0.000175,-0.226095,-0.049439,-0.046973,-0.148017,0.182439,-0.166125,0.198758,1.077382,-0.517455,-0.073535,-1.152199,-1.234303,-0.428652,0.418897,0.309169,0.009863,0.197716,1
0.022558,-0.089994,-0.024574,0.432872,-0.452647,0.014472,-0.013439,-0.068279,0.060933,0.576828,-0.623917,-0.000168,-0.226109,-0.049454,-0.046983,-0.148029,0.182367,-0.166113,0.198758,1.077382,-0.517443,-0.073547,-1.152068,-1.234279,-0.428628,0.418933,0.309181,0.009875,0.197704,1
0.022558,-0.090011,-0.024588,0.432872,-0.452663,0.014472,-0.013439,-0.068271,0.060933,0.576836,-0.623913,-0.000161,-0.226109,-0.049439,-0.046993,-0.148017,0.182248,-0.166089,0.198758,1.077382,-0.517455,-0.073523,-1.151960,-1.234255,-0.428592,0.418981,0.309181,0.009875,0.197704,1
0.022558,-0.090028,-0.024588,0.432872,-0.452655,0.014486,-0.013456,-0.068262,0.060933,0.576828,-0.623917,-0.000168,-0.226136,-0.049447,-0.046968,-0.148029,0.182140,-0.166125,0.198758,1.077358,-0.517443,-0.073523,-1.151828,-1.234243,-0.428580,0.418981,0.309181,0.009875,0.197692,1
0.022558,-0.090011,-0.024574,0.432872,-0.452655,0.014486,-0.013448,-0.068262,0.060933,0.576836,-0.623913,-0.000175,-0.226136,-0.049454,-0.046964,-0.148029,0.182020,-0.166113,0.198746,1.077382,-0.517455,-0.073535,-1.151636,-1.234207,-0.428568,0.419004,0.309169,0.009887,0.197692,1
