LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
0.108776,-0.139626,-0.024547,0.171277,-0.235519,0.082308,0.003929,0.018902,-0.017463,0.385506,-0.409317,-0.002534,-0.171738,-0.025413,-0.014636,0.128531,1.394476,1.639322,1.481286,1.766906,0.096149,-0.187517,0.103568,-1.401028,-1.735136,1.290449,-1.656400,-0.030524,0.044521,0
0.108793,-0.139626,-0.024588,0.171277,-0.235519,0.082308,0.003929,0.018894,-0.017463,0.385506,-0.409321,-0.002526,-0.171711,-0.025391,-0.014641,0.128531,1.394452,1.639346,1.481262,1.766906,0.096161,-0.187505,0.103544,-1.401028,-1.735172,1.285188,-1.656400,-0.030536,0.044677,1
0.108810,-0.139618,-0.024561,0.171295,-0.235519,0.082308,0.003937,0.018911,-0.017476,0.385515,-0.409317,-0.002534,-0.171738,-0.025421,-0.014651,0.128531,1.394392,1.639346,1.481262,1.766906,0.096197,-0.187517,0.103544,-1.401028,-1.735172,1.281533,-1.656388,-0.030524,0.044881,1
0.108793,-0.139618,-0.024574,0.171286,-0.235519,0.082294,0.003937,0.018911,-0.017476,0.385515,-0.409317,-0.002519,-0.171738,-0.025421,-0.014661,0.128531,1.394356,1.639346,1.481274,1.766894,0.096221,-0.187517,0.103544,-1.401028,-1.735184,1.278237,-1.656400,-0.030524,0.045097,1
0.108793,-0.139609,-0.024534,0.171286,-0.235515,0.082301,0.003937,0.018902,-0.017476,0.385515,-0.409317,-0.002534,-0.171778,-0.025413,-0.014646,0.128531,1.394296,1.639346,1.481286,1.766894,0.096257,-0.187529,0.103544,-1.401004,-1.735172,1.274858,-1.656400,-0.030536,0.045492,1
0.108810,-0.139609,-0.024547,0.171312,-0.235519,0.082308,0.003929,0.018902,-0.017490,0.385523,-0.409313,-0.002526,-0.171738,-0.025444,-0.014656,0.128555,1.394248,1.639346,1.481298,1.766894,0.096269,-0.187541,0.103520,-1.401004,-1.735172,1.271263,-1.656412,-0.030524,0.045768,1
0.108836,-0.139609,-0.024561,0.171320,-0.235519,0.082294,0.003903,0.018911,-0.017476,0.385523,-0.409321,-0.002512,-0.171738,-0.025444,-0.014675,0.128555,1.394164,1.639346,1.481310,1.766906,0.096293,-0.187517,0.103520,-1.401004,-1.735184,1.266337,-1.656412,-0.030560,0.046295,1
0.108827,-0.139618,-0.024574,0.171312,-0.235515,0.082301,0.003903,0.018911,-0.017490,0.385523,-0.409321,-0.002526,-0.171738,-0.025451,-0.014680,0.128567,1.394128,1.639346,1.481310,1.766906,0.096305,-0.187517,0.103532,-1.401004,-1.735196,1.264611,-1.656400,-0.030524,0.046535,1
0.108870,-0.139609,-0.024561,0.171295,-0.235519,0.082294,0.003861,0.018911,-0.017463,0.385515,-0.409313,-0.002526,-0.171764,-0.025451,-0.014680,0.128567,1.394032,1.639346,1.481322,1.766906,0.096365,-0.187493,0.103544,-1.401040,-1.735196,1.259770,-1.656376,-0.030536,0.047242,1
0.108870,-0.139609,-0.024561,0.171312,-0.235511,0.082294,0.003843,0.018911,-0.017490,0.385506,-0.409317,-0.002534,-0.171751,-0.025482,-0.014691,0.128543,1.393996,1.639358,1.481334,1.766894,0.096389,-0.187517,0.103556,-1.401052,-1.735196,1.255443,-1.656388,-0.030500,0.047697,1
0.108904,-0.139609,-0.024534,0.171312,-0.235511,0.082294,0.003843,0.018902,-0.017476,0.385523,-0.409313,-0.002541,-0.171764,-0.025474,-0.014676,0.128567,1.393973,1.639370,1.481334,1.766882,0.096425,-0.187529,0.103544,-1.401064,-1.735220,1.252040,-1.656388,-0.030524,0.048129,1
0.108904,-0.139601,-0.024561,0.171303,-0.235519,0.082294,0.003818,0.018928,-0.017476,0.385523,-0.409317,-0.002534,-0.171764,-0.025482,-0.014691,0.128567,1.393913,1.639370,1.481322,1.766894,0.096437,-0.187517,0.103532,-1.401052,-1.735256,1.248936,-1.656424,-0.030488,0.048524,1
0.108930,-0.139601,-0.024547,0.171312,-0.235511,0.082308,0.003801,0.018911,-0.017490,0.385523,-0.409313,-0.002526,-0.171778,-0.025489,-0.014696,0.128543,1.393865,1.639370,1.481346,1.766906,0.096461,-0.187517,0.103544,-1.401064,-1.735280,1.245616,-1.656412,-0.030452,0.048992,1
0.108964,-0.139601,-0.024588,0.171312,-0.235515,0.082286,0.003792,0.018911,-0.017476,0.385523,-0.409317,-0.002534,-0.171791,-0.025474,-0.014705,0.128543,1.393805,1.639370,1.481346,1.766894,0.096497,-0.187529,0.103556,-1.401064,-1.735340,1.242333,-1.656400,-0.030440,0.050094,1
0.109006,-0.139584,-0.024588,0.171312,-0.235515,0.082301,0.003767,0.018902,-0.017476,0.385523,-0.409317,-0.002534,-0.171858,-0.025497,-0.014701,0.128567,1.393745,1.639358,1.481358,1.766882,0.096533,-0.187517,0.103544,-1.401088,-1.735340,1.239468,-1.656412,-0.030452,0.050897,1
0.109023,-0.139592,-0.024561,0.171329,-0.235515,0.082286,0.003775,0.018902,-0.017490,0.385523,-0.409321,-0.002526,-0.171831,-0.025497,-0.014710,0.128555,1.393673,1.639346,1.481346,1.766906,0.096557,-0.187529,0.103544,-1.401291,-1.735364,1.236868,-1.656400,-0.030428,0.051796,1
0.109040,-0.139592,-0.024561,0.171320,-0.235511,0.082294,0.003758,0.018902,-0.017476,0.385515,-0.409321,-0.002526,-0.171845,-0.025527,-0.014711,0.128555,1.393613,1.639358,1.481346,1.766906,0.096569,-0.187529,0.103544,-1.401651,-1.735364,1.234064,-1.656412,-0.030404,0.052647,1
0.109092,-0.139575,-0.024561,0.171337,-0.235506,0.082286,0.003758,0.018902,-0.017476,0.385498,-0.409317,-0.002534,-0.171898,-0.025550,-0.014726,0.128567,1.393541,1.639370,1.481406,1.766894,0.096593,-0.187517,0.103568,-1.402382,-1.735376,1.228024,-1.656388,-0.030368,0.053869,1
0.109126,-0.139575,-0.024561,0.171354,-0.235510,0.082279,0.003758,0.018911,-0.017450,0.385498,-0.409317,-0.002534,-0.171872,-0.025565,-0.014736,0.128567,1.393493,1.639370,1.481394,1.766894,0.096605,-0.187517,0.103556,-1.402921,-1.735388,1.224920,-1.656400,-0.030356,0.054720,1
0.109160,-0.139575,-0.024561,0.171337,-0.235511,0.082294,0.003741,0.018902,-0.017463,0.385523,-0.409317,-0.002519,-0.171872,-0.025558,-0.014750,0.128555,1.393469,1.639358,1.481394,1.766894,0.096617,-0.187517,0.103544,-1.403461,-1.735412,1.221888,-1.656424,-0.030308,0.055715,1
0.109185,-0.139567,-0.024574,0.171346,-0.235506,0.082301,0.003750,0.018902,-0.017476,0.385523,-0.409309,-0.002519,-0.171925,-0.025596,-0.014755,0.128567,1.393457,1.639370,1.481418,1.766906,0.096641,-0.187541,0.103568,-1.403940,-1.735424,1.219167,-1.656424,-0.030284,0.056853,1
0.109202,-0.139558,-0.024574,0.171346,-0.235515,0.082301,0.003758,0.018911,-0.017490,0.385523,-0.409313,-0.002526,-0.171979,-0.025626,-0.014775,0.128555,1.393445,1.639382,1.481418,1.766894,0.096677,-0.187529,0.103556,-1.404407,-1.735436,1.216615,-1.656412,-0.030248,0.058651,1
0.109228,-0.139558,-0.024561,0.171346,-0.235523,0.082301,0.003741,0.018902,-0.017463,0.385532,-0.409313,-0.002526,-0.172032,-0.025641,-0.014805,0.128555,1.393433,1.639382,1.481430,1.766906,0.096689,-0.187541,0.103616,-1.404923,-1.735460,1.213690,-1.656400,-0.030200,0.059825,1
0.109262,-0.139550,-0.024588,0.171329,-0.235511,0.082294,0.003741,0.018902,-0.017476,0.385541,-0.409313,-0.002526,-0.172072,-0.025687,-0.014835,0.128567,1.393421,1.639382,1.481442,1.766894,0.096749,-0.187541,0.103628,-1.405786,-1.735472,1.210766,-1.656388,-0.030140,0.061024,1
0.109288,-0.139533,-0.024601,0.171329,-0.235510,0.082279,0.003750,0.018894,-0.017476,0.385523,-0.409321,-0.002526,-0.172099,-0.025710,-0.014850,0.128567,1.393433,1.639406,1.481454,1.766882,0.096773,-0.187553,0.103628,-1.406469,-1.735496,1.208010,-1.656388,-0.030104,0.062258,1
0.109322,-0.139516,-0.024588,0.171329,-0.235519,0.082279,0.003724,0.018894,-0.017476,0.385523,-0.409317,-0.002534,-0.172113,-0.025755,-0.014860,0.128567,1.393409,1.639382,1.481502,1.766906,0.096821,-0.187553,0.103640,-1.407643,-1.735543,1.203180,-1.656388,-0.030020,0.064439,1
0.109339,-0.139516,-0.024574,0.171337,-0.235511,0.082294,0.003707,0.018902,-0.017463,0.385523,-0.409317,-0.002534,-0.172139,-0.025793,-0.014875,0.128555,1.393433,1.639406,1.481502,1.766906,0.096868,-0.187553,0.103640,-1.408566,-1.735556,1.198986,-1.656388,-0.029997,0.066045,1
0.109347,-0.139499,-0.024574,0.171354,-0.235515,0.082286,0.003724,0.018911,-0.017476,0.385523,-0.409317,-0.002534,-0.172180,-0.025824,-0.014905,0.128567,1.393409,1.639382,1.481514,1.766894,0.096916,-0.187553,0.103664,-1.409489,-1.735556,1.196385,-1.656400,-0.029973,0.067723,1
0.109356,-0.139499,-0.024588,0.171346,-0.235514,0.082272,0.003716,0.018928,-0.017476,0.385532,-0.409317,-0.002534,-0.172220,-0.025846,-0.014920,0.128579,1.393385,1.639406,1.481538,1.766882,0.097024,-0.187553,0.103688,-1.410400,-1.735556,1.193713,-1.656412,-0.029877,0.069389,1
