LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
-0.029376,-0.070725,-0.024213,0.328144,-0.299468,-0.001846,-0.029291,-0.049411,0.034484,0.438591,-0.432077,-0.006793,0.022271,-0.028809,-0.048770,0.030080,1.061075,1.001198,0.194959,-1.394748,-0.058363,-0.149731,0.058950,-1.441487,-0.919034,0.721954,1.086598,-0.058998,0.141510,0
-0.029367,-0.070725,-0.024213,0.328144,-0.299476,-0.001846,-0.029273,-0.049403,0.034498,0.438591,-0.432081,-0.006786,0.022257,-0.028801,-0.048765,0.030080,1.061099,1.001198,0.194947,-1.394760,-0.058363,-0.149731,0.058950,-1.441463,-0.919058,0.721942,1.086610,-0.059010,0.141534,1
-0.029376,-0.070717,-0.024199,0.328136,-0.299476,-0.001846,-0.029282,-0.049411,0.034484,0.438591,-0.432085,-0.006793,0.022244,-0.028801,-0.048775,0.030080,1.061075,1.001210,0.194959,-1.394760,-0.058363,-0.149731,0.058950,-1.441487,-0.919058,0.721930,1.086586,-0.059010,0.141546,1
-0.029376,-0.070708,-0.024213,0.328136,-0.299472,-0.001838,-0.029282,-0.049403,0.034484,0.438591,-0.432077,-0.006793,0.022244,-0.028786,-0.048775,0.030068,1.061087,1.001210,0.194983,-1.394736,-0.058363,-0.149719,0.058950,-1.441451,-0.919058,0.721882,1.086598,-0.058998,0.141522,1
-0.029367,-0.070725,-0.024213,0.328136,-0.299472,-0.001838,-0.029273,-0.049411,0.034471,0.438608,-0.432073,-0.006801,0.022257,-0.028809,-0.048770,0.030080,1.061075,1.001198,0.194983,-1.394748,-0.058375,-0.149731,0.058926,-1.441487,-0.919034,0.721894,1.086598,-0.058998,0.141522,1
-0.029367,-0.070717,-0.024213,0.328127,-0.299484,-0.001860,-0.029282,-0.049403,0.034484,0.438591,-0.432081,-0.006786,0.022257,-0.028809,-0.048770,0.030080,1.061087,1.001210,0.194983,-1.394736,-0.058387,-0.149731,0.058950,-1.441463,-0.919070,0.721858,1.086610,-0.059010,0.141534,1
-0.029376,-0.070708,-0.024226,0.328136,-0.299484,-0.001860,-0.029282,-0.049403,0.034498,0.438608,-0.432077,-0.006793,0.022244,-0.028794,-0.048770,0.030068,1.061075,1.001210,0.194935,-1.394760,-0.058375,-0.149731,0.058950,-1.441463,-0.919058,0.721858,1.086598,-0.058998,0.141522,1
-0.029376,-0.070717,-0.024213,0.328118,-0.299484,-0.001860,-0.029282,-0.049403,0.034484,0.438616,-0.432073,-0.006801,0.022257,-0.028794,-0.048770,0.030068,1.061075,1.001198,0.194923,-1.394724,-0.058363,-0.149731,0.058926,-1.441463,-0.919058,0.721846,1.086598,-0.058998,0.141510,1
-0.029376,-0.070717,-0.024213,0.328110,-0.299488,-0.001867,-0.029291,-0.049394,0.034484,0.438625,-0.432073,-0.006801,0.022271,-0.028809,-0.048780,0.030068,1.061075,1.001198,0.194899,-1.394748,-0.058363,-0.149743,0.058938,-1.441451,-0.919046,0.721810,1.086586,-0.058986,0.141522,1
-0.029393,-0.070717,-0.024213,0.328076,-0.299472,-0.001853,-0.029291,-0.049403,0.034498,0.438608,-0.432077,-0.006779,0.022257,-0.028786,-0.048775,0.030068,1.061075,1.001186,0.194828,-1.394748,-0.058363,-0.149743,0.058914,-1.441463,-0.919082,0.721762,1.086598,-0.058998,0.141522,1
